Id,Name,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species
55,Hylobates_lar,0.524044,Hylobatidae,Hylobates,Primates,,Haplorrhini,6810,lar
56,,0.298797,,,Primates,,Haplorrhini,NA,
57,,0.649653,,,Primates,,Haplorrhini,NA,
58,Cebus_albifrons,1.90184,Cebidae,Cebus,Primates,Cebinae,Haplorrhini,2467.5,albifrons
59,,0.853536,,,Primates,,Haplorrhini,NA,
60,Tarsius_bancanus,1.4793,Tarsiidae,Tarsius,Primates,,Haplorrhini,122.5,bancanus
61,,0.132011,,,Primates,,Haplorrhini,NA,
62,Lemur_catta,1.23065,Lemuridae,Lemur,Primates,,Strepsirrhini,2555,catta
63,Nycticebus_coucang,1.72147,Lorisidae,Nycticebus,Primates,,Strepsirrhini,890.5,coucang
64,,0.336361,,,Primates,,Strepsirrhini,NA,
65,,0.107364,,,Primates,,,NA,
66,Cynocephalus_variegatus,1.88613,Cynocephalidae,Cynocephalus,Dermoptera,,,NA,variegatus
67,,0.204336,,,,,,NA,
68,Tupaia_belangeri,1.8054,Tupaiidae,Tupaia,Scandentia,,,200,belangeri
69,,0.0829476,,,,,,NA,
6,Cricetulus_griseus,1.52748,Cricetidae,Cricetulus,Rodentia,Cricetinae,Sciurognathi,NA,griseus
70,,0.172343,,,,,,NA,
71,Herpestes_javanicus,0.714752,Herpestidae,Herpestes,Carnivora,,Feliformia,800,javanicus
72,Neofelis_nebulosa,0.382849,Felidae,Neofelis,Carnivora,Pantherinae,Feliformia,19500,nebulosa
73,Felis_catus,0.243156,Felidae,Felis,Carnivora,Felinae,Feliformia,3900,catus
74,Acinonyx_jubatus,0.308424,Felidae,Acinonyx,Carnivora,Acinonychinae,Feliformia,53500,jubatus
75,,0.0745447,Felidae,,Carnivora,,Feliformia,NA,
76,,0.31078,Felidae,,Carnivora,,Feliformia,NA,
77,,0.249805,,,Carnivora,,Feliformia,NA,
78,Vulpes_vulpes,0.505979,Canidae,Vulpes,Carnivora,,Caniformia,4131.7,vulpes
79,Canis_lupus,0.404759,Canidae,Canis,Carnivora,,Caniformia,26625,lupus
7,Microtus_kikuchii,0.479477,Cricetidae,Microtus,Rodentia,Arvicolinae,Sciurognathi,NA,kikuchii
80,,0.627512,Canidae,,Carnivora,,Caniformia,NA,
81,Procyon_lotor,0.768224,Procyonidae,Procyon,Carnivora,,Caniformia,6000,lotor
82,Enhydra_lutris,0.457859,Mustelidae,Enhydra,Carnivora,Lutrinae,Caniformia,25850,lutris
83,Meles_meles_anakuma,0.571578,Mustelidae,Meles,Carnivora,Mustelinae,Caniformia,13000,meles
84,Martes_melampus,0.283227,Mustelidae,Martes,Carnivora,Mustelinae,Caniformia,1000,melampus
85,Gulo_gulo,0.341931,Mustelidae,Gulo,Carnivora,Mustelinae,Caniformia,16333.3,gulo
86,,0.126391,Mustelidae,,Carnivora,Mustelinae,Caniformia,NA,
87,,0.0712983,Mustelidae,,Carnivora,Mustelinae,Caniformia,NA,
88,,0.25355,Mustelidae,,Carnivora,Mustelinae,Caniformia,NA,
89,,0.131058,,,Carnivora,,Caniformia,NA,
8,Microtus_rossiaemeridionalis,0.418886,Cricetidae,Microtus,Rodentia,Arvicolinae,Sciurognathi,NA,rossiaemeridionalis
9,,0.744932,Cricetidae,Microtus,Rodentia,Arvicolinae,Sciurognathi,NA,
90,Ailurus_fulgens_styani,0.781358,Ailuridae,Ailurus,Carnivora,,Caniformia,4325,fulgens
91,,0.114154,,,Carnivora,,Caniformia,NA,
92,Callorhinus_ursinus,0.23407,Otariidae,Callorhinus,Carnivora,,Caniformia,165500,ursinus
93,Eumetopias_jubatus,0.14739,Otariidae,Eumetopias,Carnivora,,Caniformia,415000,jubatus
94,Neophoca_cinerea,0.144506,Otariidae,Neophoca,Carnivora,,Caniformia,190000,cinerea
95,Phocarctos_hookeri,0.142378,Otariidae,Phocarctos,Carnivora,,Caniformia,187580,hookeri
96,,0.0232295,Otariidae,,Carnivora,,Caniformia,NA,
97,Arctocephalus_forsteri,0.130881,Otariidae,Arctocephalus,Carnivora,,Caniformia,55000,forsteri
98,,0.0839274,Otariidae,,Carnivora,,Caniformia,NA,
99,,0.0172943,Otariidae,,Carnivora,,Caniformia,NA,
